Aircraft,Total_Accidents,Fatal_Accidents,Total_Fatalities,Avg_Fatalities_Per_Accident,Units_Produced,Accidents_Per_Unit,Fatal_Accidents_Per_Unit
CANADAIR CL600 2B16,2,1,11.0,5.5,,,
CANADAIR CL604,1,0,0.0,0.0,,,
CANADAIR F-86,1,1,1.0,1.0,,,
CANADAIR LTD CL 600 2A12,1,0,0.0,0.0,,,
CANADAIR LTD CL 600 2B16,1,1,1.0,1.0,,,
CANADAIR LTD CL-600 CHALLENGER,1,0,0.0,0.0,,,
CANADAIR LTD CL-600-2B16,1,0,0.0,0.0,,,
CANADIAN CAR & FOUNDRY HARVARD,1,0,0.0,0.0,,,
CANADIAN LIGHT ACFT SALES &SVC BUSHCADDY EXPLORER,1,0,0.0,0.0,,,
CANION MICHAEL W ZODIAC 601XL,1,0,0.0,0.0,,,
CANO DAVE AVID FLYER MKIV,1,0,0.0,0.0,,,
CANTLON STARDUSTER TOO SA300,1,0,0.0,0.0,,,
CANTRELL LW CHALLENGER II SP,1,1,1.0,1.0,,,
CANUP TITAN TORNADO S,1,0,0.0,0.0,,,
CAPELLA AIRCRAFT CORPORATION ( FW2TDXLS,1,0,0.0,0.0,,,
CAPELLA XLS,2,0,0.0,0.0,,,
CAPELLA XS,1,1,1.0,1.0,,,
CAPES MURPHY MOOSE,1,1,1.0,1.0,,,
CAPITAL HOLDINGS 226 LLC CCX-2000,1,0,0.0,0.0,,,
"CAPRA, SALVATORE O AVENTURA 2",1,1,1.0,1.0,,,
CARBON CUB,1,0,0.0,0.0,,,
CARILLON JOHN C ZODIAC CH6,1,0,0.0,0.0,,,
CARLESIMO GLASAIR III T,1,0,0.0,0.0,,,
CARLO ROBERT QUICKSILVER SPT 2S,1,1,1.0,1.0,,,
CARLSON QUICKIE Q2,1,0,0.0,0.0,,,
CARLTON M. CADWELL LANCAIR IV-P,1,1,3.0,3.0,,,
CAROTHERS ZENITH CH701,1,0,0.0,0.0,,,
CARPENTER KOLB TWINSTAR III,1,0,0.0,0.0,,,
CARR B L RV 4,1,0,0.0,0.0,,,
CARR BRYAN VANS RV-6A,1,0,0.0,0.0,,,
CARR RV-4,1,0,0.0,0.0,,,
CARRITHERS CARL L VP1,1,0,0.0,0.0,,,
CARTER RICHARD L BUDDY BABY LAKES,1,0,0.0,0.0,,,
CARTWRIGHT H JR/COTTRELL M RV-10,1,1,2.0,2.0,,,
CASA 212-200,1,0,0.0,0.0,,,
CASA C212,2,1,1.0,0.5,,,
CASE RICHARD L VAN RV-6,1,1,1.0,1.0,,,
CASHEN SUPER ACRO SPORT,1,0,0.0,0.0,,,
CASHMER PHILIP M SONEX,1,0,0.0,0.0,,,
CASLER SCOTT CX-4,1,0,0.0,0.0,,,
CASSULT RACER IIIM,1,0,0.0,0.0,,,
CASSUTT III M,1,0,0.0,0.0,,,
CASSUTT IIIM,2,0,0.0,0.0,,,
CASSUTT SPORT RACER,1,1,1.0,1.0,,,
CAUGHRAN TERRY FLIGHTSTAR II,1,1,1.0,1.0,,,
CAVALIER SA102.5,1,1,1.0,1.0,,,
CCX-2000-0081 LLC CCX-2000,1,0,0.0,0.0,,,
CENTER CHARLES C X-5,1,1,2.0,2.0,,,
CENTRAL OHIO DRAGONFLY CLUB DRAGONFLY-C,1,0,0.0,0.0,,,
CENTRAL OHIO DRAGONFLY CLUBLLC DRAGONFLY-C,1,0,0.0,0.0,,,
CESSNA 120,47,3,5.0,0.10638297872340426,,,
CESSNA 140,103,11,17.0,0.1650485436893204,,,
CESSNA 140A,10,2,4.0,0.4,,,
CESSNA 150,161,40,59.0,0.36645962732919257,,,
CESSNA 150 - F,1,1,2.0,2.0,,,
CESSNA 150 - G,1,0,0.0,0.0,,,
CESSNA 150A,2,0,0.0,0.0,,,
CESSNA 150B,1,0,0.0,0.0,,,
CESSNA 150C,5,0,0.0,0.0,,,
CESSNA 150D,9,1,2.0,0.2222222222222222,,,
CESSNA 150E,6,1,1.0,0.16666666666666666,,,
CESSNA 150F,43,9,11.0,0.2558139534883721,,,
CESSNA 150G,34,3,3.0,0.08823529411764706,,,
CESSNA 150H,27,3,6.0,0.2222222222222222,,,
CESSNA 150J,24,6,9.0,0.375,,,
CESSNA 150K,4,0,0.0,0.0,,,
CESSNA 150L,54,10,15.0,0.2777777777777778,,,
CESSNA 150M,49,9,12.0,0.24489795918367346,,,
CESSNA 152,238,31,45.0,0.18907563025210083,6000.0,0.03966666666666667,0.005166666666666667
CESSNA 152G,1,0,0.0,0.0,,,
CESSNA 152K,1,0,0.0,0.0,,,
CESSNA 162,7,0,0.0,0.0,,,
CESSNA 170,71,3,8.0,0.11267605633802817,,,
CESSNA 170 - B,1,0,0.0,0.0,,,
CESSNA 170-B,1,0,0.0,0.0,,,
CESSNA 170A,29,1,1.0,0.034482758620689655,,,
CESSNA 170B,83,7,10.0,0.12048192771084337,,,
CESSNA 172,718,122,213.0,0.2966573816155989,6000.0,0.11966666666666667,0.02033333333333333
CESSNA 172 - F,1,0,0.0,0.0,,,
CESSNA 172 - H,1,0,0.0,0.0,,,
CESSNA 172 - M,2,1,4.0,2.0,,,
CESSNA 172 - N,2,0,0.0,0.0,,,
CESSNA 172 - P,1,1,1.0,1.0,,,
CESSNA 172 - R,3,0,0.0,0.0,,,
CESSNA 172 - S,3,1,2.0,0.6666666666666666,,,
CESSNA 172 M,1,0,0.0,0.0,,,
CESSNA 172 N,1,0,0.0,0.0,,,
CESSNA 172 RG,1,1,5.0,5.0,,,
CESSNA 172 SP,1,0,0.0,0.0,,,
CESSNA 172A,11,0,0.0,0.0,,,
CESSNA 172B,12,1,1.0,0.08333333333333333,,,
CESSNA 172C,6,1,1.0,0.16666666666666666,,,
CESSNA 172D,14,1,1.0,0.07142857142857142,,,
CESSNA 172E,13,1,1.0,0.07692307692307693,,,
CESSNA 172F,26,3,4.0,0.15384615384615385,,,
CESSNA 172G,15,1,1.0,0.06666666666666667,,,
CESSNA 172H,29,5,6.0,0.20689655172413793,,,
CESSNA 172I,11,1,1.0,0.09090909090909091,,,
CESSNA 172K,40,8,14.0,0.35,,,
CESSNA 172L,19,3,7.0,0.3684210526315789,,,
CESSNA 172M,147,23,44.0,0.29931972789115646,,,
CESSNA 172N,175,31,68.0,0.38857142857142857,,,
CESSNA 172P,101,8,11.0,0.10891089108910891,,,
CESSNA 172Q,1,0,0.0,0.0,,,
CESSNA 172R,76,10,18.0,0.23684210526315788,,,
CESSNA 172RG,50,3,4.0,0.08,,,
CESSNA 172S,200,26,48.0,0.24,,,
CESSNA 172SP,6,0,0.0,0.0,,,
CESSNA 172XP,1,0,0.0,0.0,,,
CESSNA 175,33,6,8.0,0.24242424242424243,,,
CESSNA 175A,8,0,0.0,0.0,,,
CESSNA 175B,4,0,0.0,0.0,,,
CESSNA 175C,2,0,0.0,0.0,,,
CESSNA 177,66,9,16.0,0.24242424242424243,,,
CESSNA 177 RG,2,1,1.0,0.5,,,
CESSNA 177A,6,2,4.0,0.6666666666666666,,,
CESSNA 177B,31,5,8.0,0.25806451612903225,,,
CESSNA 177RG,48,6,9.0,0.1875,,,
CESSNA 180,181,8,15.0,0.08287292817679558,,,
CESSNA 180 - B,1,0,0.0,0.0,,,
CESSNA 180 - UNDESIGNAT,1,0,0.0,0.0,,,
CESSNA 180A,13,1,1.0,0.07692307692307693,,,
CESSNA 180B,7,1,4.0,0.5714285714285714,,,
CESSNA 180C,4,0,0.0,0.0,,,
CESSNA 180D,6,1,2.0,0.3333333333333333,,,
CESSNA 180E,1,0,0.0,0.0,,,
CESSNA 180F,3,1,1.0,0.3333333333333333,,,
CESSNA 180G,5,0,0.0,0.0,,,
CESSNA 180H,25,0,0.0,0.0,,,
CESSNA 180J,22,0,0.0,0.0,,,
CESSNA 180K,13,1,2.0,0.15384615384615385,,,
CESSNA 182,278,73,144.0,0.5179856115107914,6000.0,0.04633333333333333,0.012166666666666666
CESSNA 182 - L,1,1,1.0,1.0,,,
CESSNA 182 - P,1,1,1.0,1.0,,,
CESSNA 182 - Q,1,1,1.0,1.0,,,
CESSNA 182 - R,1,1,1.0,1.0,,,
CESSNA 182A,35,1,4.0,0.11428571428571428,,,
CESSNA 182B,10,2,5.0,0.5,,,
CESSNA 182C,18,4,6.0,0.3333333333333333,,,
CESSNA 182D,19,3,4.0,0.21052631578947367,,,
CESSNA 182E,12,1,1.0,0.08333333333333333,,,
CESSNA 182F,13,3,6.0,0.46153846153846156,,,
CESSNA 182G,13,3,6.0,0.46153846153846156,,,
CESSNA 182H,15,4,8.0,0.5333333333333333,,,
CESSNA 182J,19,2,6.0,0.3157894736842105,,,
CESSNA 182K,16,3,6.0,0.375,,,
CESSNA 182L,15,6,13.0,0.8666666666666667,,,
CESSNA 182M,18,6,10.0,0.5555555555555556,,,
CESSNA 182N,9,2,2.0,0.2222222222222222,,,
CESSNA 182P,64,11,19.0,0.296875,,,
CESSNA 182Q,50,12,24.0,0.48,,,
CESSNA 182R,15,4,7.0,0.4666666666666667,,,
CESSNA 182S,15,3,5.0,0.3333333333333333,,,
CESSNA 182T,30,5,10.0,0.3333333333333333,,,
CESSNA 185,32,5,19.0,0.59375,,,
CESSNA 185 - E,1,0,0.0,0.0,,,
CESSNA 185A,3,0,0.0,0.0,,,
CESSNA 185B,1,0,0.0,0.0,,,
CESSNA 185D,1,0,0.0,0.0,,,
CESSNA 185E,3,0,0.0,0.0,,,
CESSNA 185F,1,1,2.0,2.0,,,
CESSNA 188,17,4,4.0,0.23529411764705882,,,
CESSNA 188 - UNDESIGNAT,1,0,0.0,0.0,,,
CESSNA 188B,2,0,0.0,0.0,,,
CESSNA 190,3,0,0.0,0.0,,,
CESSNA 195,29,0,0.0,0.0,,,
CESSNA 195A,11,1,1.0,0.09090909090909091,,,
CESSNA 195B,7,0,0.0,0.0,,,
CESSNA 205,4,1,2.0,0.5,,,
CESSNA 205 - UNDESIGNAT,1,0,0.0,0.0,,,
CESSNA 205A,1,0,0.0,0.0,,,
CESSNA 206,30,11,32.0,1.0666666666666667,,,
CESSNA 206 - H,1,0,0.0,0.0,,,
CESSNA 206F,1,0,0.0,0.0,,,
CESSNA 206G,3,1,1.0,0.3333333333333333,,,
CESSNA 206H,5,3,8.0,1.6,,,
CESSNA 207,29,6,14.0,0.4827586206896552,,,
CESSNA 207A,16,2,2.0,0.125,,,
CESSNA 208,67,27,97.0,1.4477611940298507,,,
CESSNA 208B,69,24,81.0,1.173913043478261,,,
CESSNA 210,92,27,56.0,0.6086956521739131,,,
CESSNA 210 - N,1,0,0.0,0.0,,,
CESSNA 210 5,1,1,3.0,3.0,,,
CESSNA 210 5(205),2,0,0.0,0.0,,,
CESSNA 210 5A(205A),1,0,0.0,0.0,,,
CESSNA 210-5,2,0,0.0,0.0,,,
CESSNA 210-5(205),6,1,2.0,0.3333333333333333,,,
CESSNA 210-5A,1,0,0.0,0.0,,,
CESSNA 210A,8,1,1.0,0.125,,,
CESSNA 210B,5,2,2.0,0.4,,,
CESSNA 210C,2,1,2.0,1.0,,,
CESSNA 210D,4,2,2.0,0.5,,,
CESSNA 210E,6,3,4.0,0.6666666666666666,,,
CESSNA 210F,4,2,2.0,0.5,,,
CESSNA 210G,3,1,2.0,0.6666666666666666,,,
CESSNA 210H,3,2,5.0,1.6666666666666667,,,
CESSNA 210J,3,0,0.0,0.0,,,
CESSNA 210K,3,1,6.0,2.0,,,
CESSNA 210L,14,5,7.0,0.5,,,
CESSNA 210M,5,3,15.0,3.0,,,
CESSNA 210N,9,2,6.0,0.6666666666666666,,,
CESSNA 305,14,1,2.0,0.14285714285714285,,,
CESSNA 305-A,1,0,0.0,0.0,,,
CESSNA 305A,17,0,0.0,0.0,,,
CESSNA 305C (0 1E),2,0,0.0,0.0,,,
CESSNA 305C (0-1E),1,0,0.0,0.0,,,
CESSNA 305F,1,0,0.0,0.0,,,
CESSNA 310,29,13,25.0,0.8620689655172413,,,
CESSNA 310B,3,2,5.0,1.6666666666666667,,,
CESSNA 310C,4,1,2.0,0.5,,,
CESSNA 310F,4,2,2.0,0.5,,,
CESSNA 310G,1,0,0.0,0.0,,,
CESSNA 310H,2,2,7.0,3.5,,,
CESSNA 310I,4,0,0.0,0.0,,,
CESSNA 310J,4,1,1.0,0.25,,,
CESSNA 310K,6,0,0.0,0.0,,,
CESSNA 310L,1,0,0.0,0.0,,,
CESSNA 310N,4,1,1.0,0.25,,,
CESSNA 310Q,8,2,3.0,0.375,,,
CESSNA 310R,27,16,35.0,1.2962962962962963,,,
CESSNA 320,4,3,3.0,0.75,,,
CESSNA 320D,3,3,7.0,2.3333333333333335,,,
CESSNA 320E,3,2,4.0,1.3333333333333333,,,
CESSNA 320F,1,0,0.0,0.0,,,
CESSNA 335,2,2,4.0,2.0,,,
CESSNA 336,2,1,1.0,0.5,,,
CESSNA 337,11,4,9.0,0.8181818181818182,,,
CESSNA 337A,1,1,2.0,2.0,,,
CESSNA 337C,1,1,1.0,1.0,,,
CESSNA 337D,1,1,3.0,3.0,,,
CESSNA 337F,2,0,0.0,0.0,,,
CESSNA 337G,5,1,1.0,0.2,,,
CESSNA 340,20,9,28.0,1.4,,,
CESSNA 340A,22,11,27.0,1.2272727272727273,,,
CESSNA 350,2,0,0.0,0.0,,,
CESSNA 400,2,1,2.0,1.0,,,
CESSNA 401,8,5,20.0,2.5,,,
CESSNA 401A,3,1,7.0,2.3333333333333335,,,
CESSNA 401B,1,0,0.0,0.0,,,
CESSNA 402,23,3,13.0,0.5652173913043478,,,
CESSNA 402A,1,0,0.0,0.0,,,
CESSNA 402B,14,4,14.0,1.0,,,
CESSNA 402C,18,3,7.0,0.3888888888888889,,,
CESSNA 404,5,2,6.0,1.2,,,
CESSNA 411,1,1,1.0,1.0,,,
CESSNA 414,21,6,11.0,0.5238095238095238,,,
CESSNA 414A,7,4,17.0,2.4285714285714284,,,
CESSNA 421,21,7,15.0,0.7142857142857143,,,
CESSNA 421 - C,1,1,4.0,4.0,,,
CESSNA 421A,2,0,0.0,0.0,,,
CESSNA 421B,20,6,20.0,1.0,,,
CESSNA 421C,26,15,38.0,1.4615384615384615,,,
CESSNA 425,6,2,4.0,0.6666666666666666,,,
CESSNA 441,15,8,20.0,1.3333333333333333,,,
CESSNA 500,9,7,21.0,2.3333333333333335,,,
CESSNA 501,14,5,21.0,1.5,,,
CESSNA 510,9,1,1.0,0.1111111111111111,,,
CESSNA 525,27,8,21.0,0.7777777777777778,,,
CESSNA 525A,7,1,4.0,0.5714285714285714,,,
CESSNA 525B,5,0,0.0,0.0,,,
CESSNA 525C,1,0,0.0,0.0,,,
CESSNA 550,29,5,19.0,0.6551724137931034,,,
CESSNA 550B,1,1,2.0,2.0,,,
CESSNA 551,3,1,4.0,1.3333333333333333,,,
CESSNA 560,23,5,14.0,0.6086956521739131,,,
CESSNA 560 - XL,1,0,0.0,0.0,,,
CESSNA 560XL,21,1,7.0,0.3333333333333333,,,
CESSNA 650,8,3,9.0,1.125,,,
CESSNA 680,7,0,0.0,0.0,,,
CESSNA 750,5,1,5.0,1.0,,,
CESSNA A150K,2,0,0.0,0.0,,,
CESSNA A150L,1,0,0.0,0.0,,,
CESSNA A150M,2,0,0.0,0.0,,,
CESSNA A185,65,6,8.0,0.12307692307692308,,,
CESSNA A185E,12,2,2.0,0.16666666666666666,,,
CESSNA A185F,79,10,18.0,0.22784810126582278,,,
CESSNA A188,24,11,11.0,0.4583333333333333,,,
CESSNA A188A,4,1,1.0,0.25,,,
CESSNA A188B,36,4,4.0,0.1111111111111111,,,
CESSNA AIRCRAFT 162,1,0,0.0,0.0,,,
CESSNA AIRCRAFT 172,1,1,2.0,2.0,,,
CESSNA AIRCRAFT 172A,1,1,4.0,4.0,,,
CESSNA AIRCRAFT 177B,1,1,3.0,3.0,,,
CESSNA AIRCRAFT 182P,1,1,4.0,4.0,,,
CESSNA AIRCRAFT 210M,1,1,4.0,4.0,,,
CESSNA AIRCRAFT A188,1,1,1.0,1.0,,,
CESSNA AIRCRAFT CO 162,14,1,1.0,0.07142857142857142,,,
CESSNA AIRCRAFT CO E162,7,0,0.0,0.0,,,
CESSNA AIRCRAFT CO LC41-550FG,2,1,1.0,0.5,,,
CESSNA AIRCRAFT CO LC42-550FG,1,1,2.0,2.0,,,
CESSNA AIRCRAFT CO. 162,1,1,1.0,1.0,,,
CESSNA AIRCRAFT COMPANY 152,1,1,2.0,2.0,,,
CESSNA AIRCRAFT COMPANY 162 LSA,1,1,2.0,2.0,,,
CESSNA AIRCRAFT COMPANY 172R,1,1,1.0,1.0,,,
CESSNA AIRCRAFT COMPANY 172RG,1,0,0.0,0.0,,,
CESSNA AIRCRAFT COMPANY 210L,1,1,2.0,2.0,,,
CESSNA AIRCRAFT COMPANY 441,1,1,3.0,3.0,,,
CESSNA AIRCRAFT COMPANY 510,1,1,3.0,3.0,,,
CESSNA AIRCRAFT COMPANY CESSNA 152,1,1,2.0,2.0,,,
CESSNA AIRCRAFT COMPANY CESSNA 525B,1,0,0.0,0.0,,,
CESSNA AIRCRAFT COMPANY CESSNA U 206 G,1,0,0.0,0.0,,,
CESSNA AIRCRAFT COMPANY T210N,1,1,1.0,1.0,,,
CESSNA AIRCRAFT T188,1,1,2.0,2.0,,,
CESSNA AIRCRAFT T210L,1,0,0.0,0.0,,,
CESSNA AIRCRAFT U206F,1,1,1.0,1.0,,,
CESSNA C 680,1,0,0.0,0.0,,,
CESSNA C-152,1,0,0.0,0.0,,,
CESSNA C-172RG,1,0,0.0,0.0,,,
CESSNA C-182,2,0,0.0,0.0,,,
CESSNA C-195,1,0,0.0,0.0,,,
CESSNA C-208 CARAVAN,1,1,1.0,1.0,,,
CESSNA C-210,1,0,0.0,0.0,,,
CESSNA C-310Q,1,1,6.0,6.0,,,
CESSNA C172,1,0,0.0,0.0,,,
CESSNA C175A,1,0,0.0,0.0,,,
CESSNA C182,1,1,4.0,4.0,,,
CESSNA C185F,1,0,0.0,0.0,,,
CESSNA C208B,1,0,0.0,0.0,,,
CESSNA C208B CARAVAN,1,0,0.0,0.0,,,
CESSNA C421B,1,0,0.0,0.0,,,
CESSNA CE-152,2,0,0.0,0.0,,,
CESSNA CE-172M,1,0,0.0,0.0,,,
CESSNA CE-208,1,0,0.0,0.0,,,
CESSNA CE-560,1,0,0.0,0.0,,,
CESSNA CESSNA 441,1,0,0.0,0.0,,,
CESSNA CESSNA R182,1,0,0.0,0.0,,,
CESSNA CITATION 500,1,0,0.0,0.0,,,
CESSNA CJ1,1,0,0.0,0.0,,,
CESSNA E162,3,0,0.0,0.0,,,
CESSNA ECTOR 305,1,0,0.0,0.0,,,
CESSNA ECTOR 305A,3,0,0.0,0.0,,,
CESSNA F-172,1,0,0.0,0.0,,,
CESSNA F150,5,4,7.0,1.4,,,
CESSNA F152,1,0,0.0,0.0,,,
CESSNA F172,7,4,5.0,0.7142857142857143,,,
CESSNA F172N,1,1,1.0,1.0,,,
CESSNA F177RG,1,0,0.0,0.0,,,
CESSNA F182 - Q,1,0,0.0,0.0,,,
CESSNA FA150,2,1,1.0,0.5,,,
CESSNA FR172,1,0,0.0,0.0,,,
CESSNA FRA150,1,1,1.0,1.0,,,
CESSNA L-19E,5,0,0.0,0.0,,,
CESSNA L19,5,0,0.0,0.0,,,
CESSNA L19 - A,1,0,0.0,0.0,,,
CESSNA LC-126C,1,0,0.0,0.0,,,
CESSNA LC41,1,0,0.0,0.0,,,
CESSNA LC41-550FG,3,0,0.0,0.0,,,
CESSNA LC42-550FG,1,0,0.0,0.0,,,
CESSNA M337B,2,1,3.0,1.5,,,
CESSNA O 1E,1,0,0.0,0.0,,,
CESSNA O1 - A,1,0,0.0,0.0,,,
CESSNA P172D,2,0,0.0,0.0,,,
CESSNA P206,9,4,6.0,0.6666666666666666,,,
CESSNA P206A,1,0,0.0,0.0,,,
CESSNA P206B,2,0,0.0,0.0,,,
CESSNA P206C,2,0,0.0,0.0,,,
CESSNA P206D,1,0,0.0,0.0,,,
CESSNA P210,27,7,17.0,0.6296296296296297,,,
CESSNA P210 - N,1,0,0.0,0.0,,,
CESSNA P210N,50,7,16.0,0.32,,,
CESSNA P210R,1,0,0.0,0.0,,,
CESSNA P337G,1,1,1.0,1.0,,,
CESSNA P337H,4,2,3.0,0.75,,,
CESSNA R172,11,2,2.0,0.18181818181818182,,,
CESSNA R172E,7,0,0.0,0.0,,,
CESSNA R172HP,1,1,5.0,5.0,,,
CESSNA R172K,23,7,15.0,0.6521739130434783,,,
CESSNA R182,39,8,14.0,0.358974358974359,,,
CESSNA R182RG,1,0,0.0,0.0,,,
CESSNA REIMS F152,1,1,1.0,1.0,,,
CESSNA S550,4,3,7.0,1.75,,,
CESSNA SKYHAWK II 172N,1,1,2.0,2.0,,,
CESSNA T-210,1,0,0.0,0.0,,,
CESSNA T-50,1,1,2.0,2.0,,,
CESSNA T182,10,4,6.0,0.6,,,
CESSNA T182 - T,1,1,2.0,2.0,,,
CESSNA T182T,30,4,9.0,0.3,,,
CESSNA T188,6,2,2.0,0.3333333333333333,,,
CESSNA T188C,11,0,0.0,0.0,,,
CESSNA T206,9,3,5.0,0.5555555555555556,,,
CESSNA T206G,1,1,2.0,2.0,,,
CESSNA T206H,27,8,17.0,0.6296296296296297,,,
CESSNA T207,6,0,0.0,0.0,,,
CESSNA T207 - A,1,1,7.0,7.0,,,
CESSNA T207A,6,2,3.0,0.5,,,
CESSNA T210,45,14,28.0,0.6222222222222222,,,
CESSNA T210 - F,1,0,0.0,0.0,,,
CESSNA T210 - H,1,0,0.0,0.0,,,
CESSNA T210 - L,1,0,0.0,0.0,,,
CESSNA T210F,4,0,0.0,0.0,,,
CESSNA T210G,3,1,1.0,0.3333333333333333,,,
CESSNA T210H,2,0,0.0,0.0,,,
CESSNA T210J,2,0,0.0,0.0,,,
CESSNA T210K,5,1,4.0,0.8,,,
CESSNA T210L,33,6,9.0,0.2727272727272727,,,
CESSNA T210M,33,8,18.0,0.5454545454545454,,,
CESSNA T210N,33,9,21.0,0.6363636363636364,,,
CESSNA T210R,3,1,2.0,0.6666666666666666,,,
CESSNA T240,3,1,2.0,0.6666666666666666,,,
CESSNA T303,9,5,6.0,0.6666666666666666,,,
CESSNA T310,4,2,3.0,0.75,,,
CESSNA T310Q,3,2,5.0,1.6666666666666667,,,
CESSNA T310R,11,6,15.0,1.3636363636363635,,,
CESSNA T337,8,2,5.0,0.625,,,
CESSNA T337B,1,0,0.0,0.0,,,
CESSNA T337C,1,1,1.0,1.0,,,
CESSNA T337G,7,3,10.0,1.4285714285714286,,,
CESSNA TP206,1,0,0.0,0.0,,,
CESSNA TP206A,1,0,0.0,0.0,,,
CESSNA TP206B,2,0,0.0,0.0,,,
CESSNA TR182,31,5,10.0,0.3225806451612903,,,
CESSNA TU206,20,9,22.0,1.1,,,
CESSNA TU206 - G,2,1,2.0,1.0,,,
CESSNA TU206B,2,1,3.0,1.5,,,
CESSNA TU206C,1,0,0.0,0.0,,,
CESSNA TU206E,1,0,0.0,0.0,,,
CESSNA TU206F,6,2,4.0,0.6666666666666666,,,
CESSNA TU206G,17,6,25.0,1.4705882352941178,,,
CESSNA U-206G,1,1,4.0,4.0,,,
CESSNA U206,46,16,36.0,0.782608695652174,,,
CESSNA U206 - G,3,2,7.0,2.3333333333333335,,,
CESSNA U206A,1,0,0.0,0.0,,,
CESSNA U206B,3,0,0.0,0.0,,,
CESSNA U206C,6,3,13.0,2.1666666666666665,,,
CESSNA U206D,1,0,0.0,0.0,,,
CESSNA U206E,5,1,3.0,0.6,,,
CESSNA U206F,25,9,40.0,1.6,,,
CESSNA U206G,39,12,24.0,0.6153846153846154,,,
CESSNA/AIR REPAIR INC 305F,2,0,0.0,0.0,,,
CESSNA/WEAVER 305 - E,1,0,0.0,0.0,,,
CGS AVIATION HAWK AERO II,1,0,0.0,0.0,,,
CGS AVIATION HAWK TWO PLACE ARROW,1,1,1.0,1.0,,,
CGS AVIATION LLC HAWK ARROW II SLSA,1,1,1.0,1.0,,,
CGS HAWK,1,0,0.0,0.0,,,
CHAD LEWIS KITFOX SUPER SPORT,1,0,0.0,0.0,,,
CHALLENGER II,4,2,2.0,0.5,,,
CHALLENGER II CW,1,0,0.0,0.0,,,
CHAMBERLAIN GERALD ESCAPADE,1,1,1.0,1.0,,,
CHAMBERLIN VICTOR WAYNE MINIMAX,1,0,0.0,0.0,,,
CHAMPION 7AC,4,0,0.0,0.0,,,
CHAMPION 7ACA,1,0,0.0,0.0,,,
CHAMPION 7BCM,4,1,2.0,0.5,,,
CHAMPION 7EC,10,1,1.0,0.1,,,
CHAMPION 7EC-703,1,0,0.0,0.0,,,
CHAMPION 7ECA,29,4,7.0,0.2413793103448276,,,
CHAMPION 7FC,8,0,0.0,0.0,,,
CHAMPION 7GC,6,0,0.0,0.0,,,
CHAMPION 7GCAA,11,3,4.0,0.36363636363636365,,,
CHAMPION 7GCB,1,0,0.0,0.0,,,
CHAMPION 7GCBA,1,0,0.0,0.0,,,
CHAMPION 7GCBC,21,3,4.0,0.19047619047619047,,,
CHAMPION 7HC,3,1,1.0,0.3333333333333333,,,
CHAMPION 7KCAB,11,3,6.0,0.5454545454545454,,,
CHAMPION 8GCBC,7,1,2.0,0.2857142857142857,,,
CHAMPION 8KCAB,9,4,5.0,0.5555555555555556,,,
CHAMPION AERONCA 7AC,3,1,2.0,0.6666666666666666,,,
CHAMPION AERONCA 7FC,1,0,0.0,0.0,,,
CHAMPION AERONCA 7HC,1,0,0.0,0.0,,,
CHANCE VOUGHT F4U 4,1,0,0.0,0.0,,,
CHANCE VOUGHT F4U 5,1,0,0.0,0.0,,,
CHANCEY GERRY M RV-12,1,0,0.0,0.0,,,
CHANG RV-10,1,0,0.0,0.0,,,
CHAPMAN MARK A TRIKE,1,0,0.0,0.0,,,
CHAPMAN T-BIRD II,1,0,0.0,0.0,,,
CHARLES D WALKER WALKER CURTISS JN4D,1,0,0.0,0.0,,,
CHARLES J NORRIS ARION LIGHTNING,1,0,0.0,0.0,,,
CHARLES PEET ZENITH CH 701,1,0,0.0,0.0,,,
CHARLES R KYLE ZENITH STOL CH 701,1,0,0.0,0.0,,,
CHATHAM ROBERT M RV6-A,1,0,0.0,0.0,,,
CHAUDOIN GEORGE S RV 10,1,0,0.0,0.0,,,
CHECH AIRCRAFT WORKS SPOL SRO CH 601 XL RTF,1,1,1.0,1.0,,,
CHEUNG DAVID S VANS RV6,1,0,0.0,0.0,,,
CHICCO MIGUEL E QUICKSILVER SPORT II,1,1,1.0,1.0,,,
CHICCO QUICKSILVER SPORT II,1,0,0.0,0.0,,,
CHISTOV CHALLENGER,1,0,0.0,0.0,,,
CHOMO EAA BIPLANE B1,1,0,0.0,0.0,,,
CHRIS MITCHELL TITAN TORNADO,1,1,1.0,1.0,,,
CHRIS W KLEEN RV-6,1,0,0.0,0.0,,,
CHRISTAVIA MK1,1,1,1.0,1.0,,,
CHRISTEN INDUSTRIES A-1,2,0,0.0,0.0,,,
CHRISTEN INDUSTRIES A1,1,0,0.0,0.0,,,
CHRISTEN INDUSTRIES EAGLE II,1,0,0.0,0.0,,,
CHRISTEN INDUSTRIES INC A 1,3,1,1.0,0.3333333333333333,,,
CHRISTEN INDUSTRIES INC A-1,5,0,0.0,0.0,,,
CHRISTEN INDUSTRIES INC PITTS S,1,0,0.0,0.0,,,
CHRISTEN INDUSTRIES INC PITTS S 2B,1,0,0.0,0.0,,,
CHRISTEN INDUSTRIES INC PITTS S-1T,1,0,0.0,0.0,,,
CHRISTEN INDUSTRIES INC PITTS S-2B,4,1,1.0,0.25,,,
CHRISTEN INDUSTRIES INC PITTS S-2S,1,0,0.0,0.0,,,
CHRISTENSEN STEVE WHEELER EXPRESS,1,1,3.0,3.0,,,
